npi,name,phone,address,city,state,zip,taxonomy,provider_type,website,search_query
1811524085,22kill,6829906242,855 TEXAS ST STE 105,Fort Worth,TX,761024574,"Counselor, Mental Health",Organization,,"""22kill"" Fort Worth TX mental health practice"
1144146713,Aaron Reichlin Md In-network,3126264394,4040 N CENTRAL EXPY,Dallas,TX,752043158,"Psychiatry & Neurology, Psychiatry",Organization,,"""Aaron Reichlin Md In-network"" Dallas TX mental health practice"
1861959959,Access Telecare California,9724490540,1717 MAIN ST STE 5850,Dallas,TX,752017317,"Psychiatry & Neurology, Neurology",Organization,https://accesstelecare.com/specialties/behavioral-health/outpatient-behavioral-health/,"""Access Telecare California"" Dallas TX mental health practice"
1013303080,Access Telecare,9724490540,1717 MAIN ST STE 5850,Dallas,TX,752017317,Internal Medicine,Organization,https://accesstelecare.com/,"""Access Telecare"" Dallas TX mental health practice"
1609852813,Aids Arms,2145215191,3900 JUNIUS ST STE 300,Dallas,TX,752461602,Family Medicine,Organization,,"""Aids Arms"" Dallas TX mental health practice"
1215208905,Ajk Medical Services,9726900550,6750 HILLCREST PLAZA DR SUITE 215,Dallas,TX,752301400,,Organization,,"""Ajk Medical Services"" Dallas TX mental health practice"
1992325443,Ali Khan,9403208100,2026 W UNIVERSITY DR,Denton,TX,762010644,"Psychiatry & Neurology, Psychiatry",Organization,,"""Ali Khan"" Denton TX mental health practice"
1316914666,Ambulatory Care Clinic (acc),2145905512,5201 HARRY HINES BLVD AMBULATORY CARE CLINIC (ACC),Dallas,TX,752357708,"Psychiatry & Neurology, Psychiatry",Organization,,"""Ambulatory Care Clinic (acc)"" Dallas TX mental health practice"
1639769490,American Behavior Change Center,7033429329,4514 COLE AVE STE 600,Dallas,TX,752054193,"Psychiatry & Neurology, Psychiatry",Organization,,"""American Behavior Change Center"" Dallas TX mental health practice"
1134503873,Ami Medical Monitoring,2143684666,4849 GREENVILLE AVE STE 1125,Dallas,TX,752064155,"Psychiatry & Neurology, Psychiatry",Organization,https://ami.health/,"""Ami Medical Monitoring"" Dallas TX mental health practice"
